gene_symbol	hgnc_id	entrez_id	count
ACADM	HGNC:89	Entrez:34	53
ACADS	HGNC:90	Entrez:35	32
ACADSB	HGNC:91	Entrez:36	0
ACADVL	HGNC:92	Entrez:37	77
ACAN	HGNC:319	Entrez:176	196
ACAP1	HGNC:16467	Entrez:9744	28
ACAP2	HGNC:16469	Entrez:23527	22
ACAP2-IT1	HGNC:41426	Entrez:100874306	0
ACAP3	HGNC:16754	Entrez:116983	38
ACAT1	HGNC:93	Entrez:38	0
ACAT2	HGNC:94	Entrez:39	0
ACBD3	HGNC:15453	Entrez:64746	0
ACBD3-AS1	HGNC:40701	Entrez:107985353	0
ACBD4	HGNC:23337	Entrez:79777	32
ACBD5	HGNC:23338	Entrez:91452	0
ACBD6	HGNC:23339	Entrez:84320	0
ACBD7	HGNC:17715	Entrez:414149	0
ACCS	HGNC:23989	Entrez:84680	65
ACCSL	HGNC:34391	Entrez:390110	0
ACD	HGNC:25070	Entrez:65057	57
ACE	HGNC:2707	Entrez:1636	293
ACE2	HGNC:13557	Entrez:59272	0
ACE2-DT	HGNC:56255	Entrez:104798195	0
ACE3P	HGNC:44365	Entrez:100129123	0
ACER1	HGNC:18356	Entrez:125981	0
ACER2	HGNC:23675	Entrez:340485	0
ACER2P1	HGNC:54674	Entrez:645978	0
ACER3	HGNC:16066	Entrez:55331	25
ACHE	HGNC:108	Entrez:43	23
ACIN1	HGNC:17066	Entrez:22985	111
ACKR1	HGNC:4035	Entrez:2532	0
ACKR2	HGNC:1565	Entrez:1238	55
ACKR3	HGNC:23692	Entrez:57007	39
ACKR4	HGNC:1611	Entrez:51554	8
ACKR4P1	HGNC:21142	Entrez:285737	0
ACLY	HGNC:115	Entrez:47	0
ACMSD	HGNC:19288	Entrez:130013	36
ACNATP	HGNC:34504	Entrez:347275	0
ACO1	HGNC:117	Entrez:48	95
ACO2	HGNC:118	Entrez:50	51
ACOD1	HGNC:33904	Entrez:730249	0
ACOT1	HGNC:33128	Entrez:641371	0
ACOT11	HGNC:18156	Entrez:26027	56
ACOT12	HGNC:24436	Entrez:134526	0
ACOT13	HGNC:20999	Entrez:55856	56
ACOT2	HGNC:18431	Entrez:10965	61
ACOT4	HGNC:19748	Entrez:122970	42
ACOT6	HGNC:33159	Entrez:641372	17
ACOT7	HGNC:24157	Entrez:11332	0
ACOT8	HGNC:15919	Entrez:10005	76
ACOT9	HGNC:17152	Entrez:23597	0
ACOX1	HGNC:119	Entrez:51	39
ACOX2	HGNC:120	Entrez:8309	71
ACOX3	HGNC:121	Entrez:8310	81
ACOXL	HGNC:25621	Entrez:55289	42
ACOXL-AS1	HGNC:41112	Entrez:400997	0
ACP1	HGNC:122	Entrez:52	13
ACP2	HGNC:123	Entrez:53	39
ACP3	HGNC:125	Entrez:55	0
ACP4	HGNC:14376	Entrez:93650	0
ACP5	HGNC:124	Entrez:54	43
ACP6	HGNC:29609	Entrez:51205	0
ACP7	HGNC:33781	Entrez:390928	0
ACR	HGNC:126	Entrez:49	17
ACRBP	HGNC:17195	Entrez:84519	0
ACRP1	HGNC:54745	Entrez:645529	0
ACRV1	HGNC:127	Entrez:56	18
ACSBG1	HGNC:29567	Entrez:23205	75
ACSBG2	HGNC:24174	Entrez:81616	51
ACSF2	HGNC:26101	Entrez:80221	60
ACSF3	HGNC:27288	Entrez:197322	0
ACSL1	HGNC:3569	Entrez:2180	47
ACSL3	HGNC:3570	Entrez:2181	79
ACSL3-AS1	HGNC:40227	Entrez:105373904	0
ACSL3P1	HGNC:56529	Entrez:100421637	0
ACSL4	HGNC:3571	Entrez:2182	0
ACSL5	HGNC:16526	Entrez:51703	24
ACSL6	HGNC:16496	Entrez:23305	0
ACSL6-AS1	HGNC:40772	Entrez:101927693	0
ACSM1	HGNC:18049	Entrez:116285	93
